
SEQUEST v.28 (rev. 12), (c) 1998-2007
Molecular Biotechnology, Univ. of Washington, J.Eng/S.Morgan/J.Yates
Licensed to Thermo Fisher Scientific Inc.

In memory indexing of the database took 0.3 seconds

Search run on = TESLA
Params file = C:\Xcalibur\sequest\john\opd1_2runs_2mods\ecoli.params
Peptide tol = 0.0000, fragment tol = 1.0000, AVG/AVG
Ion series = nABY ABCDVWXYZ: 0 1 1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
Display top = 10/5, ion % = 0.0, CODE = 101050
Protein database (in-memory indexed) = C:\Xcalibur\database\ecoli_K12_ncbi_20060321.fasta
(M* +15.99940) (STY# +79.97990)  Enzyme:Trypsin(KR/P) (2)
Searched dta file  for scan(s) 464 - 464 @ z=2
Searched dta file  for scan(s) 464 - 464 @ z=3
Searched dta file  for scan(s) 466 - 466 @ z=2
Searched dta file  for scan(s) 466 - 466 @ z=3
Searched dta file  for scan(s) 467 - 467 @ z=1
Searched dta file  for scan(s) 468 - 468 @ z=2
Searched dta file  for scan(s) 468 - 468 @ z=3
Searched dta file  for scan(s) 470 - 470 @ z=1
Searched dta file  for scan(s) 471 - 471 @ z=2
Searched dta file  for scan(s) 471 - 471 @ z=3
Searched dta file  for scan(s) 472 - 472 @ z=1
Searched dta file  for scan(s) 474 - 474 @ z=2
Searched dta file  for scan(s) 474 - 474 @ z=3
Searched dta file  for scan(s) 475 - 475 @ z=2
Searched dta file  for scan(s) 475 - 475 @ z=3
Searched dta file  for scan(s) 476 - 476 @ z=2
Searched dta file  for scan(s) 476 - 476 @ z=3
Searched dta file  for scan(s) 478 - 478 @ z=2
Searched dta file  for scan(s) 478 - 478 @ z=3
Searched dta file  for scan(s) 479 - 479 @ z=1
